Name	R_Count	Yelp_Rating	WR
Hollywood Cafe	969.0	4.5	4.36122176122
Blue Hawaii Açaí Café	382.0	4.5	4.23232488437
Noeteca	326.0	4.5	4.2063009148
Good Luck Cafe and Deli	303.0	4.5	4.19408558214
Saint Frank Coffee	250.0	4.5	4.16165865385
Central Coffee Tea & Spice	241.0	4.5	4.15545687764
Rolling Out	234.0	4.5	4.15047381596
Potala Organic Cafe	208.0	4.5	4.13063171817
Bacon Bacon	186.0	4.5	4.11199386909
Cafe Romanat	181.0	4.5	4.10749263787
Hive The Place To Bee	175.0	4.5	4.10195135747
V-105	134.0	4.5	4.0594513722
Haddon Hill Cafe	126.0	4.5	4.05007799714
Mission Edge Cafe	59.0	5.0	4.04799134927
Tivoli Caffe	120.0	4.5	4.04278196466
Equator Coffees at Proof Lab Surf Shop	113.0	4.5	4.03396508794
Prima Cosa Caffe	95.0	4.5	4.00965022297
Anula's Cafe	88.0	4.5	3.99949505007
Mission Public	85.0	4.5	3.99501291619
Hot Press	82.0	4.5	3.99044977989
The Interval At Long Now	82.0	4.5	3.99044977989
Dottie's True Blue Cafe	2914.0	4.0	3.98603961028
Two Mammas' Vegan Kitchen	78.0	4.5	3.98423575281
Zuni Café	2120.0	4.0	3.9813625852
ilana's Coffee	73.0	4.5	3.97625178614
Four Barrel Coffee	1566.0	4.0	3.97567694214
Buena Vista Cafe	1510.0	4.0	3.97490302666
Mission Pie	1275.0	4.0	3.97103562421
Chantal Guillon	68.0	4.5	3.96801675133
Gran Milan - Bakery & Cafe'	35.0	5.0	3.96782219973
Il Canto Cafe	65.0	4.5	3.9629502442
Nina's Cafe	64.0	4.5	3.96123989466
Perfect Pour	63.0	4.5	3.95951861637
Craftsman and Wolves	803.0	4.0	3.95805254219
Chai Bar By David Rio	61.0	4.5	3.95604285184
Marana Cafe	61.0	4.5	3.95604285184
Café Bistro	670.0	4.0	3.95198839883
Diamond Cafe	58.0	4.5	3.95074456793
Atlas Cafe	617.0	4.0	3.94905343359
Fog Baby Cafe	57.0	4.5	3.94895546229
Nook	569.0	4.0	3.94606755424
Toy Boat Dessert Café	542.0	4.0	3.94422894814
Semifreddi's Bakery	54.0	4.5	3.94351752277
Jane on Fillmore	530.0	4.0	3.94337093195
Doyle Street Cafe	519.0	4.0	3.94256089327
Sutter St. Cafe	52.0	4.5	3.93983220835
La Boulange de Fillmore	474.0	4.0	3.93899078304
Darwin Cafe	473.0	4.0	3.93890639962
Elmwood Cafe	457.0	4.0	3.93752380046
Eureka! Cafe	50.0	4.5	3.93609775641
Farley's East	431.0	4.0	3.93513851237
Temo Cafe	47.0	4.5	3.93040177415
Green Heart Foods	47.0	4.5	3.93040177415
Specialty's Cafe & Bakery	371.0	4.0	3.92887170197
Heirloom Cafe	367.0	4.0	3.92841057848
CommonWealth Cafe & Pub	353.0	4.0	3.92674846919
iCafe San Francisco	45.0	4.5	3.92654009126
Montse's Cafe	24.0	5.0	3.92638440483
Caffe Centro	344.0	4.0	3.92563859751
Take 5 Cafe	44.0	4.5	3.92458954736
Nespresso Boutique at Bloomingdale's	44.0	4.5	3.92458954736
Cool Tea Bar	334.0	4.0	3.92436528583
La Boulange	329.0	4.0	3.92371213631
Cafe Capriccio	329.0	4.0	3.92371213631
Libby Jane Cafe	42.0	4.5	3.92064837987
Galette 88	303.0	4.0	3.92012536514
New Alternatives Cafe	41.0	4.5	3.91865748084
Greenhouse Cafe	278.0	4.0	3.9163434222
Northstar Cafe	277.0	4.0	3.91618468107
Salada Beach Cafe	277.0	4.0	3.91618468107
Cavalli Cafe	277.0	4.0	3.91618468107
Specs' Twelve Adler Museum Cafe	269.0	4.0	3.9148927301
Another Cafe	269.0	4.0	3.9148927301
The Social Study	267.0	4.0	3.91456349502
Suga Mama's Cafe	37.0	4.5	3.91055514607
Nespresso Boutique Bar	238.0	4.0	3.90948632566
Ruby's Cafe	234.0	4.0	3.90873827877
Cafe Sophie	232.0	4.0	3.90835959943
Black Point Cafe	228.0	4.0	3.90759273415
Fog Lifter Cafe	209.0	4.0	3.90376759678
Working Girls' Cafe	195.0	4.0	3.9007400605
The Station SF	193.0	4.0	3.90029193436
Cafe RX	32.0	4.5	3.90010399618
Mariposa Baking Co	190.0	4.0	3.89961210664
Marketplace Café	185.0	4.0	3.89845822281
Phusion	17.0	5.0	3.89823717949
Fertile Grounds Cafe	183.0	4.0	3.89798920767
Réveille Coffee Co.	182.0	4.0	3.89775307158
Tribu Cafe	180.0	4.0	3.89727750447
Stanza Coffee	176.0	4.0	3.896312974
Ashley's Cafe	174.0	4.0	3.89582388425
New Lun Ting Cafe	173.0	4.0	3.89557760502
The Soapbox Cafe	16.0	5.0	3.894095214
Front Cafe	156.0	4.0	3.89120523873
20th Century Cafe	154.0	4.0	3.8906666508
Bubbaloo Cafe	27.0	4.5	3.88927554846
Southern Cafe	140.0	4.0	3.88674186391
Cafe V	130.0	4.0	3.88376138664
Bayside Cafe	127.0	4.0	3.88283641094
Rhea's Cafe	126.0	4.0	3.88252480565
Fillmore Street Cafe	124.0	4.0	3.88189659605
Mamá Art Cafe	122.0	4.0	3.88126163151
Highwire Coffee Roasters	122.0	4.0	3.88126163151
Well Grounded	121.0	4.0	3.880941582
Ghirardelli Chocolate	23.0	4.5	3.88032720485
Babette	119.0	4.0	3.88029627892
Laguna Cafe	118.0	4.0	3.87997099707
Peter D's	116.0	4.0	3.87931510088
Mame's Cafe	22.0	4.5	3.87804899604
Farm House Local	110.0	4.0	3.8773036859
Good Eats Cafe	108.0	4.0	3.87661823163
Zing Cafe	21.0	4.5	3.87575397389
Cat Town Café & Adoption Center	104.0	4.0	3.87522408735
Basik Cafe	103.0	4.0	3.87487061451
Cafe Coco	103.0	4.0	3.87487061451
Juice A-Go-Go	101.0	4.0	3.87415762656
Simply Delish	20.0	4.5	3.87344195157
The Morning Fix	99.0	4.0	3.87343646683
Melanio's Bistro	97.0	4.0	3.87270699401
Sammy's Cafe	19.0	4.5	3.87111273949
Cafe Talavera	19.0	4.5	3.87111273949
Klyde Cafe & Wine Bar	92.0	4.0	3.87084598516
Merritt Station	90.0	4.0	3.87008625566
Samovar Tea	90.0	4.0	3.87008625566
Julie's Cafe	87.0	4.0	3.86892975348
Cool Cravings	18.0	4.5	3.86876614524
Ro Cafe	10.0	5.0	3.86857433432
Island City Cafe	83.0	4.0	3.86735533611
Bagel Street Cafe	81.0	4.0	3.86655385777
Lama Beans Cafe	80.0	4.0	3.86614947552
Semifreddi's Bakery	72.0	4.0	3.86282399666
Machine Coffee & Deli	71.0	4.0	3.86239665708
Johnny B's Cafe	15.0	4.5	3.8616201016
Peet's Coffee & Tea	15.0	4.5	3.8616201016
Jolt N Bolt	69.0	4.0	3.8615339402
Kilovolt Coffee	68.0	4.0	3.86109851234
Nourish Cafe	65.0	4.0	3.85977564103
Cafe Valparaiso	64.0	4.0	3.85932906663
Irving Cafe	14.0	4.5	3.85920199592
Mazarine Coffee	63.0	4.0	3.85887963873
Café UB	62.0	4.0	3.85842732988
Kitchen Sunnyside	56.0	4.0	3.85565139517
Aroma Cafe	55.0	4.0	3.85517812106
A.G. Ferrari Foods	53.0	4.0	3.85422220107
Amitis Café	47.0	4.0	3.85127719503
La Christa's Cafe	10.0	4.5	3.84934356509
Scarlet City Espresso Bar	41.0	4.0	3.84821074544
Chasing Lions Cafe	40.0	4.0	3.84768733422
Cozy Cafe	9.0	4.5	3.84683137808
Cafe Buon Giorno	37.0	4.0	3.84609521576
Mo' Joe Cafe	36.0	4.0	3.84555708714
Good Earth Cafe	35.0	4.0	3.84501518219
Nano Cafe	8.0	4.5	3.84429971676
Panama Red Coffee Co	8.0	4.5	3.84429971676
Banana Sam's Cafe	32.0	4.0	3.84336640753
B. on the Go	32.0	4.0	3.84336640753
Goody Cafe	32.0	4.0	3.84336640753
Guckenheimer Cafe	7.0	4.5	3.84174835379
Caffetino	7.0	4.5	3.84174835379
The Bread Project	6.0	4.5	3.83917705829
The Speaker Box Cafe	6.0	4.5	3.83917705829
Shelter Bay Cafe	23.0	4.0	3.83820266272
Schilling Cafe	23.0	4.0	3.83820266272
The Coffee Lab	23.0	4.0	3.83820266272
Hush Coffee Bar	22.0	4.0	3.83760781957
College Point Cafe	22.0	4.0	3.83760781957
Sit & Stay Cafe	3.0	5.0	3.83727006689
Café Dimmi Tutto	3.0	5.0	3.83727006689
Lidia's Cafe & Restaurant	21.0	4.0	3.83700858643
Basic Cafe	21.0	4.0	3.83700858643
Cafe Luxo	5.0	4.5	3.83658559578
Summit Coffee Shop	20.0	4.0	3.83640491453
Café at the Opera at the SFWM	20.0	4.0	3.83640491453
High XII Cafe & Coffee	20.0	4.0	3.83640491453
Tia's	20.0	4.0	3.83640491453
Angel Island Cafe	19.0	4.0	3.83579675436
Chrome Coffee Bar Powered By Cento	18.0	4.0	3.83518405568
Le Petit Cafe	17.0	4.0	3.8345667675
Genencafe B24/25	4.0	4.5	3.83397372804
Lunchbox Cafe	4.0	4.5	3.83397372804
Nina Claire's Cafe	4.0	4.5	3.83397372804
Liquid Culture	4.0	4.5	3.83397372804
Sight Glass	4.0	4.5	3.83397372804
The Octopus Literary Salon	16.0	4.0	3.83394483806
Cool Tea Bar	16.0	4.0	3.83394483806
Nina's Cafe	15.0	4.0	3.8333182148
R&B Cafe	15.0	4.0	3.8333182148
Aroma Cafe	14.0	4.0	3.83268684441
B-Side Baking Company	14.0	4.0	3.83268684441
Ecco Caffe	2.0	5.0	3.83265605922
Counter Culture	2.0	5.0	3.83265605922
Abe's Cafe	2.0	5.0	3.83265605922
The Lab By Napaology	13.0	4.0	3.83205067271
Provender	12.0	4.0	3.83140964474
Giant Scoop Cafe	12.0	4.0	3.83140964474
Cafe Diem	3.0	4.5	3.83134121313
FIFO@Haas	3.0	4.5	3.83134121313
Presidio Palms Cafe	3.0	4.5	3.83134121313
Papi's Fat Nuts Cafe	3.0	4.5	3.83134121313
Cats Cafe	11.0	4.0	3.83076370469
BBC Cafe	9.0	4.0	3.82945686071
Cafe In	9.0	4.0	3.82945686071
The Walt Disney Family Museum Cafe	8.0	4.0	3.82879584079
Marina's Cafe	8.0	4.0	3.82879584079
Kaiser Permanente South San Francisco Cafeteria	8.0	4.0	3.82879584079
Genencafe - B33	8.0	4.0	3.82879584079
Carafe Cafe	7.0	4.0	3.82812967674
Caffe Cova	1.0	5.0	3.82800528655
Caffe Cova	1.0	5.0	3.82800528655
Cafe Des Amis	1.0	5.0	3.82800528655
The LEdge	1.0	5.0	3.82800528655
Mangiare Xpress	1.0	5.0	3.82800528655
