Name	R_Count	Yelp_Rating	WR
Hollywood Cafe	969.0	4.5	4.36122176122
Blue Hawaii Açaí Café	382.0	4.5	4.23232488437
Noeteca	326.0	4.5	4.2063009148
Good Luck Cafe and Deli	303.0	4.5	4.19408558214
Saint Frank Coffee	250.0	4.5	4.16165865385
Central Coffee Tea & Spice	241.0	4.5	4.15545687764
Rolling Out	234.0	4.5	4.15047381596
Potala Organic Cafe	208.0	4.5	4.13063171817
Bacon Bacon	186.0	4.5	4.11199386909
Cafe Romanat	181.0	4.5	4.10749263787
Hive The Place To Bee	175.0	4.5	4.10195135747
V-105	134.0	4.5	4.0594513722
Haddon Hill Cafe	126.0	4.5	4.05007799714
Mission Edge Cafe	59.0	5.0	4.04799134927
Tivoli Caffe	120.0	4.5	4.04278196466
Equator Coffees at Proof Lab Surf Shop	113.0	4.5	4.03396508794
Prima Cosa Caffe	95.0	4.5	4.00965022297
Anula's Cafe	88.0	4.5	3.99949505007
Mission Public	85.0	4.5	3.99501291619
Hot Press	82.0	4.5	3.99044977989
The Interval At Long Now	82.0	4.5	3.99044977989
Dottie's True Blue Cafe	2914.0	4.0	3.98603961028
Two Mammas' Vegan Kitchen	78.0	4.5	3.98423575281
Zuni Café	2120.0	4.0	3.9813625852
ilana's Coffee	73.0	4.5	3.97625178614
Four Barrel Coffee	1566.0	4.0	3.97567694214
Buena Vista Cafe	1510.0	4.0	3.97490302666
Mission Pie	1275.0	4.0	3.97103562421
Chantal Guillon	68.0	4.5	3.96801675133
Gran Milan - Bakery & Cafe'	35.0	5.0	3.96782219973
Il Canto Cafe	65.0	4.5	3.9629502442
Nina's Cafe	64.0	4.5	3.96123989466
Perfect Pour	63.0	4.5	3.95951861637
Craftsman and Wolves	803.0	4.0	3.95805254219
Chai Bar By David Rio	61.0	4.5	3.95604285184
Marana Cafe	61.0	4.5	3.95604285184
Café Bistro	670.0	4.0	3.95198839883
Diamond Cafe	58.0	4.5	3.95074456793
Atlas Cafe	617.0	4.0	3.94905343359
Fog Baby Cafe	57.0	4.5	3.94895546229
Nook	569.0	4.0	3.94606755424
Toy Boat Dessert Café	542.0	4.0	3.94422894814
Semifreddi's Bakery	54.0	4.5	3.94351752277
Jane on Fillmore	530.0	4.0	3.94337093195
Doyle Street Cafe	519.0	4.0	3.94256089327
Sutter St. Cafe	52.0	4.5	3.93983220835
La Boulange de Fillmore	474.0	4.0	3.93899078304
Darwin Cafe	473.0	4.0	3.93890639962
Elmwood Cafe	457.0	4.0	3.93752380046
Eureka! Cafe	50.0	4.5	3.93609775641
